"Time","HansBetheHouse.Elec.PowerScout3/kWsystem"
2018-04-11 20:00:00,263
2018-04-12 20:00:00,260
2018-04-13 20:00:00,250
2018-04-14 20:00:00,255
2018-04-15 20:00:00,263
2018-04-16 20:00:00,261
2018-04-17 20:00:00,255
2018-04-18 20:00:00,270
2018-04-19 20:00:00,263
2018-04-20 20:00:00,251
2018-04-21 20:00:00,253
2018-04-22 20:00:00,260
2018-04-23 20:00:00,257
2018-04-24 20:00:00,264
2018-04-25 20:00:00,263
2018-04-26 20:00:00,263
2018-04-27 20:00:00,246
2018-04-28 20:00:00,254
2018-04-29 20:00:00,268
2018-04-30 20:00:00,262
2018-05-01 20:00:00,277
2018-05-02 20:00:00,286
2018-05-03 20:00:00,286
2018-05-04 20:00:00,267
2018-05-05 20:00:00,264
2018-05-06 20:00:00,271
2018-05-07 20:00:00,270
2018-05-08 20:00:00,288
2018-05-09 20:00:00,262
2018-05-10 20:00:00,269
2018-05-11 20:00:00,254
2018-05-12 20:00:00,251
2018-05-13 20:00:00,266
2018-05-14 20:00:00,271
2018-05-15 20:00:00,268
2018-05-16 20:00:00,267
2018-05-17 20:00:00,269
2018-05-18 20:00:00,257
2018-05-19 20:00:00,255
2018-05-20 20:00:00,252
2018-05-21 20:00:00,253
2018-05-22 20:00:00,207
2018-05-23 20:00:00,195
2018-05-24 20:00:00,202
2018-05-25 20:00:00,216
2018-05-26 20:00:00,213
2018-05-27 20:00:00,178
2018-05-28 20:00:00,176
2018-05-29 20:00:00,179
2018-05-30 20:00:00,179
2018-05-31 20:00:00,177
2018-06-01 20:00:00,165
2018-06-02 20:00:00,152
2018-06-03 20:00:00,163
2018-06-04 20:00:00,168
2018-06-05 20:00:00,177
2018-06-06 20:00:00,179
2018-06-07 20:00:00,187
2018-06-08 20:00:00,169
2018-06-09 20:00:00,170
2018-06-10 20:00:00,171
2018-06-11 20:00:00,171
2018-06-12 20:00:00,173
2018-06-13 20:00:00,174
2018-06-14 20:00:00,165
2018-06-15 20:00:00,148
2018-06-16 20:00:00,154
2018-06-17 20:00:00,172
2018-06-18 20:00:00,175
2018-06-19 20:00:00,172
2018-06-20 20:00:00,169
2018-06-21 20:00:00,172
2018-06-22 20:00:00,161
2018-06-23 20:00:00,163
2018-06-24 20:00:00,175
2018-06-25 20:00:00,176
2018-06-26 20:00:00,175
2018-06-27 20:00:00,177
2018-06-28 20:00:00,180
2018-06-29 20:00:00,165
2018-06-30 20:00:00,167
2018-07-01 20:00:00,177
2018-07-02 20:00:00,177
2018-07-03 20:00:00,171
2018-07-04 20:00:00,173
2018-07-05 20:00:00,174
2018-07-06 20:00:00,159
2018-07-07 20:00:00,161
2018-07-08 20:00:00,172
2018-07-09 20:00:00,177
2018-07-10 20:00:00,176
2018-07-11 20:00:00,175
2018-07-12 20:00:00,171
2018-07-13 20:00:00,161
2018-07-14 20:00:00,165
2018-07-15 20:00:00,180
2018-07-16 20:00:00,188
2018-07-17 20:00:00,182
2018-07-18 20:00:00,174
2018-07-19 20:00:00,173
2018-07-20 20:00:00,165
2018-07-21 20:00:00,154
2018-07-22 20:00:00,166
2018-07-23 20:00:00,175
2018-07-24 20:00:00,177
2018-07-25 20:00:00,175
2018-07-26 20:00:00,174
2018-07-27 20:00:00,156
2018-07-28 20:00:00,155
2018-07-29 20:00:00,166
2018-07-30 20:00:00,170
2018-07-31 20:00:00,176
2018-08-01 20:00:00,173
2018-08-02 20:00:00,178
2018-08-03 20:00:00,162
2018-08-04 20:00:00,156
2018-08-05 20:00:00,168
2018-08-06 20:00:00,169
2018-08-07 20:00:00,174
2018-08-08 20:00:00,177
2018-08-09 20:00:00,175
2018-08-10 20:00:00,162
2018-08-11 20:00:00,160
2018-08-12 20:00:00,178
2018-08-13 20:00:00,181
2018-08-14 20:00:00,183
2018-08-15 20:00:00,198
2018-08-16 20:00:00,211
2018-08-17 20:00:00,215
2018-08-18 20:00:00,223
2018-08-19 20:00:00,239
2018-08-20 20:00:00,252
2018-08-21 20:00:00,285
2018-08-22 20:00:00,286
2018-08-23 20:00:00,286
2018-08-24 20:00:00,283
2018-08-25 20:00:00,286
2018-08-26 20:00:00,308
2018-08-27 20:00:00,315
2018-08-28 20:00:00,320
2018-08-29 20:00:00,313
2018-08-30 20:00:00,302
2018-08-31 20:00:00,289
2018-09-01 20:00:00,294
2018-09-02 20:00:00,318
2018-09-03 20:00:00,320
2018-09-04 20:00:00,317
2018-09-05 20:00:00,323
2018-09-06 20:00:00,308
2018-09-07 20:00:00,288
2018-09-08 20:00:00,273
2018-09-09 20:00:00,277
2018-09-10 20:00:00,279
2018-09-11 20:00:00,281
2018-09-12 20:00:00,295
2018-09-13 20:00:00,304
2018-09-14 20:00:00,295
2018-09-15 20:00:00,304
2018-09-16 20:00:00,305
2018-09-17 20:00:00,305
2018-09-18 20:00:00,298
2018-09-19 20:00:00,292
2018-09-20 20:00:00,296
2018-09-21 20:00:00,281
2018-09-22 20:00:00,272
2018-09-23 20:00:00,273
2018-09-24 20:00:00,281
2018-09-25 20:00:00,288
2018-09-26 20:00:00,285
2018-09-27 20:00:00,282
2018-09-28 20:00:00,270
2018-09-29 20:00:00,260
2018-09-30 20:00:00,269
2018-10-01 20:00:00,274
2018-10-02 20:00:00,278
2018-10-03 20:00:00,275
2018-10-04 20:00:00,270
2018-10-05 20:00:00,239
2018-10-06 20:00:00,235
2018-10-07 20:00:00,244
2018-10-08 20:00:00,257
2018-10-09 20:00:00,293
2018-10-10 20:00:00,292
2018-10-11 20:00:00,279
2018-10-12 20:00:00,269
2018-10-13 20:00:00,256
2018-10-14 20:00:00,275
2018-10-15 20:00:00,276
2018-10-16 20:00:00,273
2018-10-17 20:00:00,277
2018-10-18 20:00:00,273
2018-10-19 20:00:00,263
2018-10-20 20:00:00,258
2018-10-21 20:00:00,267
2018-10-22 20:00:00,272
2018-10-23 20:00:00,272
2018-10-24 20:00:00,274
2018-10-25 20:00:00,266
2018-10-26 20:00:00,257
2018-10-27 20:00:00,264
2018-10-28 20:00:00,272
2018-10-29 20:00:00,267
2018-10-30 20:00:00,268
2018-10-31 20:00:00,272
2018-11-01 20:00:00,268
2018-11-02 20:00:00,258
2018-11-03 20:00:00,254
2018-11-04 19:00:00,270
2018-11-05 19:00:00,266
2018-11-06 19:00:00,272
2018-11-07 19:00:00,275
2018-11-08 19:00:00,276
2018-11-09 19:00:00,264
2018-11-10 19:00:00,259
2018-11-11 19:00:00,263
2018-11-12 19:00:00,267
2018-11-13 19:00:00,270
2018-11-14 19:00:00,260
2018-11-15 19:00:00,264
2018-11-16 19:00:00,254
2018-11-17 19:00:00,261
2018-11-18 19:00:00,270
2018-11-19 19:00:00,263
2018-11-20 19:00:00,197
2018-11-21 19:00:00,187
2018-11-22 19:00:00,184
2018-11-23 19:00:00,187
2018-11-24 19:00:00,212
2018-11-25 19:00:00,260
2018-11-26 19:00:00,265
2018-11-27 19:00:00,263
2018-11-28 19:00:00,266
2018-11-29 19:00:00,272
2018-11-30 19:00:00,260
2018-12-01 19:00:00,255
2018-12-02 19:00:00,269
2018-12-03 19:00:00,266
2018-12-04 19:00:00,273
2018-12-05 19:00:00,278
2018-12-06 19:00:00,273
2018-12-07 19:00:00,263
2018-12-08 19:00:00,264
2018-12-09 19:00:00,273
2018-12-10 19:00:00,271
2018-12-11 19:00:00,278
2018-12-12 19:00:00,270
2018-12-13 19:00:00,262
2018-12-14 19:00:00,242
2018-12-15 19:00:00,184
2018-12-16 19:00:00,179
2018-12-17 19:00:00,174
2018-12-18 19:00:00,174
2018-12-19 19:00:00,172
2018-12-20 19:00:00,155
2018-12-21 19:00:00,148
2018-12-22 19:00:00,150
2018-12-23 19:00:00,144
2018-12-24 19:00:00,144
2018-12-25 19:00:00,144
2018-12-26 19:00:00,143
2018-12-27 19:00:00,142
