"Time","DuffieldHall.Elec.PowerScout3/kWsystem"
2018-04-11 20:00:00,872
2018-04-12 20:00:00,892
2018-04-13 20:00:00,872
2018-04-14 20:00:00,858
2018-04-15 20:00:00,864
2018-04-16 20:00:00,862
2018-04-17 20:00:00,862
2018-04-18 20:00:00,865
2018-04-19 20:00:00,852
2018-04-20 20:00:00,848
2018-04-21 20:00:00,859
2018-04-22 20:00:00,876
2018-04-23 20:00:00,876
2018-04-24 20:00:00,879
2018-04-25 20:00:00,859
2018-04-26 20:00:00,867
2018-04-27 20:00:00,878
2018-04-28 20:00:00,862
2018-04-29 20:00:00,862
2018-04-30 20:00:00,877
2018-05-01 20:00:00,860
2018-05-02 20:00:00,875
2018-05-03 20:00:00,875
2018-05-04 20:00:00,844
2018-05-05 20:00:00,853
2018-05-06 20:00:00,875
2018-05-07 20:00:00,868
2018-05-08 20:00:00,865
2018-05-09 20:00:00,878
2018-05-10 20:00:00,854
2018-05-11 20:00:00,853
2018-05-12 20:00:00,866
2018-05-13 20:00:00,872
2018-05-14 20:00:00,872
2018-05-15 20:00:00,868
2018-05-16 20:00:00,889
2018-05-17 20:00:00,870
2018-05-18 20:00:00,870
2018-05-19 20:00:00,852
2018-05-20 20:00:00,876
2018-05-21 20:00:00,877
2018-05-22 20:00:00,870
2018-05-23 20:00:00,871
2018-05-24 20:00:00,856
2018-05-25 20:00:00,851
2018-05-26 20:00:00,854
2018-05-27 20:00:00,858
2018-05-28 20:00:00,867
2018-05-29 20:00:00,872
2018-05-30 20:00:00,857
2018-05-31 20:00:00,865
2018-06-01 20:00:00,838
2018-06-02 20:00:00,826
2018-06-03 20:00:00,836
2018-06-04 20:00:00,854
2018-06-05 20:00:00,851
2018-06-06 20:00:00,858
2018-06-07 20:00:00,869
2018-06-08 20:00:00,866
2018-06-09 20:00:00,851
2018-06-10 20:00:00,865
2018-06-11 20:00:00,881
2018-06-12 20:00:00,878
2018-06-13 20:00:00,871
2018-06-14 20:00:00,853
2018-06-15 20:00:00,830
2018-06-16 20:00:00,846
2018-06-17 20:00:00,873
2018-06-18 20:00:00,874
2018-06-19 20:00:00,855
2018-06-20 20:00:00,850
2018-06-21 20:00:00,855
2018-06-22 20:00:00,843
2018-06-23 20:00:00,856
2018-06-24 20:00:00,855
2018-06-25 20:00:00,863
2018-06-26 20:00:00,863
2018-06-27 20:00:00,866
2018-06-28 20:00:00,868
2018-06-29 20:00:00,850
2018-06-30 20:00:00,861
2018-07-01 20:00:00,881
2018-07-02 20:00:00,877
2018-07-03 20:00:00,858
2018-07-04 20:00:00,881
2018-07-05 20:00:00,869
2018-07-06 20:00:00,844
2018-07-07 20:00:00,847
2018-07-08 20:00:00,868
2018-07-09 20:00:00,871
2018-07-10 20:00:00,854
2018-07-11 20:00:00,860
2018-07-12 20:00:00,863
2018-07-13 20:00:00,860
2018-07-14 20:00:00,852
2018-07-15 20:00:00,874
2018-07-16 20:00:00,876
2018-07-17 20:00:00,868
2018-07-18 20:00:00,863
2018-07-19 20:00:00,855
2018-07-20 20:00:00,845
2018-07-21 20:00:00,849
2018-07-22 20:00:00,862
2018-07-23 20:00:00,875
2018-07-24 20:00:00,895
2018-07-25 20:00:00,877
2018-07-26 20:00:00,881
2018-07-27 20:00:00,860
2018-07-28 20:00:00,866
2018-07-29 20:00:00,875
2018-07-30 20:00:00,883
