name,slottime_GMT,slottype,slotavg,pointTitle
AliceCookHouse.CW.FP/TONS,2022-04-09 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-09 00:00:00,D,19.482291666,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-09 00:00:00,D,48.246875000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-09 00:00:00,D,1104.932395833,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-09 00:00:00,D,681.344687500,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-09 00:00:00,D,6333.731875000,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-10 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-10 00:00:00,D,33.071875000,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-10 00:00:00,D,65.739583333,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-10 00:00:00,D,19949.922604166,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-10 00:00:00,D,1975.722604166,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-10 00:00:00,D,9621.450104166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-11 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-11 00:00:00,D,42.708421052,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-11 00:00:00,D,76.390625000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-11 00:00:00,D,21050.158125000,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-11 00:00:00,D,6302.611875000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-11 00:00:00,D,9953.137187500,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-12 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-12 00:00:00,D,44.375000000,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-12 00:00:00,D,80.553125000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-12 00:00:00,D,28556.366531250,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-12 00:00:00,D,6102.753541666,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-12 00:00:00,D,5468.768125000,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-13 00:00:00,D,10.806634687,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-13 00:00:00,D,46.241666666,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-13 00:00:00,D,82.221875000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-13 00:00:00,D,26759.841875000,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-13 00:00:00,D,6078.532812500,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-13 00:00:00,D,5266.563854166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-14 00:00:00,D,14.520155208,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-14 00:00:00,D,49.361052631,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-14 00:00:00,D,86.618947368,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-14 00:00:00,D,25970.081145833,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-14 00:00:00,D,6849.656979166,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-14 00:00:00,D,3734.273333333,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-15 00:00:00,D,2.943384687,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-15 00:00:00,D,45.072631578,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-15 00:00:00,D,80.988421052,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-15 00:00:00,D,23309.389791666,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-15 00:00:00,D,8003.324479166,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-15 00:00:00,D,6831.505208333,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-16 00:00:00,D,0.377913020,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-16 00:00:00,D,58.343750000,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-16 00:00:00,D,93.789583333,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-04-16 00:00:00,D,41953.536562500,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-04-16 00:00:00,D,7555.959791666,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-04-16 00:00:00,D,8902.371354166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-04-17 00:00:00,D,0.000000000,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-04-17 00:00:00,D,58.770833333,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-04-17 00:00:00,D,92.009375000,Cook House
