time,temperature_2m (°F),relativehumidity_2m (%),dewpoint_2m (°F),apparent_temperature (°F),pressure_msl (hPa),surface_pressure (hPa),precipitation (inch),rain (inch),snowfall (inch),weathercode (wmo code),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),windspeed_10m (mp/h),windspeed_100m (mp/h)
2021-05-01T00:00,42,68,32.2,31.1,1008,973.4,0,0,0,2,77,50,53,1,35,16,19,133.5,16.8,27.8
2021-05-01T01:00,40.4,71,31.6,29.5,1009.3,974.5,0.004,0.004,0,51,100,63,64,17,0,0,0,0,16.5,27.3
2021-05-01T02:00,39.3,75,31.9,28.6,1010.2,975.3,0.008,0.008,0,51,100,61,97,90,0,0,0,0,16.2,26.9
2021-05-01T03:00,38.1,77,31.6,28.1,1011.1,976.1,0.008,0.008,0,51,100,94,100,74,0,0,0,0,14.6,24.3
2021-05-01T04:00,37.4,77,30.9,27.8,1011.7,976.6,0.008,0.004,0.028,71,100,99,98,50,0,0,0,0,13.2,22.9
2021-05-01T05:00,37,76,30.1,27.4,1012.5,977.4,0.004,0,0.028,71,100,92,99,8,0,0,0,0,13,25.2
2021-05-01T06:00,37,74,29.6,26.7,1013.3,978.2,0,0,0,3,100,99,99,0,0,0,0,0,14.6,25.6
2021-05-01T07:00,36.4,85,32.3,27.5,1014,978.8,0,0,0,3,100,95,87,0,0,0,0,0,12.2,20.8
2021-05-01T08:00,36.8,83,32,28.3,1014.9,979.7,0,0,0,3,100,94,76,0,0,0,0,0,10.9,19.5
2021-05-01T09:00,37,75,29.7,28,1016,980.8,0,0,0,3,94,82,33,0,0,0,0,0,11.6,20
2021-05-01T10:00,37,69,27.7,28.9,1016.8,981.5,0,0,0,1,27,27,4,0,0,0,0,0,8.7,13.8
2021-05-01T11:00,36.7,67,26.7,28,1017.9,982.6,0,0,0,0,7,8,0,0,41,21,20,0,9.8,15.5
2021-05-01T12:00,37.3,61,25.1,28.1,1018,982.7,0,0,0,0,11,12,0,0,199,136,63,387,10.5,15.7
2021-05-01T13:00,39.4,57,25.4,30.7,1018.7,983.5,0,0,0,0,4,4,0,0,423,348,75,660.1,9.3,13.8
2021-05-01T14:00,42.1,53,26,34.6,1018.4,983.4,0,0,0,0,0,0,0,0,616,529,87,842.9,8.2,11.7
2021-05-01T15:00,45.2,47,26.4,39.9,1018.2,983.5,0,0,0,0,0,0,0,0,777,681,96,904.8,7.2,10.1
2021-05-01T16:00,48.3,42,26.3,44.8,1017.6,983.1,0,0,0,0,0,0,0,0,893,792,101,941.9,6,8.2
2021-05-01T17:00,51.2,38,26.5,48.8,1016.2,981.9,0,0,0,0,0,0,0,0,956,853,103,962.8,5,6.9
2021-05-01T18:00,54,35,27,51.6,1015.4,981.3,0,0,0,0,13,0,0,44,959,857,102,971.5,5.3,7.6
2021-05-01T19:00,55.2,35,27.9,53,1013.7,979.8,0,0,0,0,17,0,0,55,899,798,101,963.6,4.1,5.7
2021-05-01T20:00,56.7,34,28.8,53.3,1012.6,978.8,0,0,0,0,11,0,5,28,785,688,97,939.5,3.9,5.5
