name,slottime_GMT,slottype,slotavg,pointTitle
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 15:00:00,H,44.825000000,Building Electric
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 15:00:00,H,61.050000000,Solar Generation meter
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 16:00:00,H,29.625000000,Building Electric
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 16:00:00,H,76.050000000,Solar Generation meter
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 17:00:00,H,35.200000000,Building Electric
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 17:00:00,H,89.050000000,Solar Generation meter
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 18:00:00,H,67.300000000,Building Electric
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 18:00:00,H,50.325000000,Solar Generation meter
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 19:00:00,H,94.900000000,Building Electric
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 19:00:00,H,30.375000000,Solar Generation meter
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 20:00:00,H,95.150000000,Building Electric
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 20:00:00,H,21.475000000,Solar Generation meter
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 21:00:00,H,95.525000000,Building Electric
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 21:00:00,H,20.500000000,Solar Generation meter
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 22:00:00,H,120.950000000,Building Electric
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 22:00:00,H,5.575000000,Solar Generation meter
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 23:00:00,H,124.175000000,Building Electric
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 23:00:00,H,0.000000000,Solar Generation meter
GanedagoHall.Elec.PowerScout3037/kW,2023-03-08 00:00:00,H,126.075000000,Building Electric
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-08 00:00:00,H,0.000000000,Solar Generation meter
GanedagoHall.Elec.PowerScout3037/kW,2023-03-08 01:00:00,H,125.175000000,Building Electric
