,time,grid,solar
0,2023-03-07 15:00:00,44.825,61.05
1,2023-03-07 16:00:00,29.625,76.05
2,2023-03-07 17:00:00,35.2,89.05
3,2023-03-07 18:00:00,67.3,50.325
4,2023-03-07 19:00:00,94.9,30.375
5,2023-03-07 20:00:00,95.15,21.475
6,2023-03-07 21:00:00,95.525,20.5
7,2023-03-07 22:00:00,120.95,5.575
8,2023-03-07 23:00:00,124.175,0.0
9,2023-03-08 00:00:00,126.075,0.0
10,2023-03-08 01:00:00,125.175,0.0
11,2023-03-08 02:00:00,150.175,0.0
12,2023-03-08 03:00:00,143.775,0.0
13,2023-03-08 04:00:00,149.05,0.0
14,2023-03-08 05:00:00,128.55,0.0
15,2023-03-08 06:00:00,115.2,0.0
16,2023-03-08 07:00:00,104.525,0.0
17,2023-03-08 08:00:00,101.0,0.0
18,2023-03-08 09:00:00,98.5,0.0
19,2023-03-08 10:00:00,98.675,0.0
20,2023-03-08 11:00:00,107.8,0.0
21,2023-03-08 12:00:00,105.875,4.1
22,2023-03-08 13:00:00,92.8,18.35
23,2023-03-08 14:00:00,67.8,50.925
24,2023-03-08 15:00:00,70.05,49.275
25,2023-03-08 16:00:00,79.425,55.75
26,2023-03-08 17:00:00,35.475,70.325
27,2023-03-08 18:00:00,60.3,54.975
28,2023-03-08 19:00:00,77.3,43.85
29,2023-03-08 20:00:00,98.5,27.425
30,2023-03-08 21:00:00,102.275,18.575
31,2023-03-08 22:00:00,113.9,5.725
32,2023-03-08 23:00:00,127.525,0.025
33,2023-03-09 00:00:00,131.275,0.0
34,2023-03-09 01:00:00,127.2,0.0
35,2023-03-09 02:00:00,140.925,0.0
36,2023-03-09 03:00:00,157.55,0.0
37,2023-03-09 04:00:00,151.825,0.0
38,2023-03-09 05:00:00,135.075,0.0
39,2023-03-09 06:00:00,133.875,0.0
40,2023-03-09 07:00:00,113.775,0.0
41,2023-03-09 08:00:00,103.05,0.0
42,2023-03-09 09:00:00,104.475,0.0
43,2023-03-09 10:00:00,102.9,0.0
44,2023-03-09 11:00:00,108.95,0.475
45,2023-03-09 12:00:00,100.225,10.375
46,2023-03-09 13:00:00,90.175,24.375
47,2023-03-09 14:00:00,97.975,33.625
48,2023-03-09 15:00:00,83.15,34.775
49,2023-03-09 16:00:00,58.475,53.15
50,2023-03-09 17:00:00,52.55,60.525
51,2023-03-09 18:00:00,45.475,65.85
52,2023-03-09 19:00:00,74.225,42.425
53,2023-03-09 20:00:00,83.425,28.675
54,2023-03-09 21:00:00,105.75,16.675
55,2023-03-09 22:00:00,120.05,4.8
56,2023-03-09 23:00:00,125.5,0.0
57,2023-03-10 00:00:00,125.55,0.0
58,2023-03-10 01:00:00,130.575,0.0
59,2023-03-10 02:00:00,128.325,0.0
60,2023-03-10 03:00:00,151.725,0.0
61,2023-03-10 04:00:00,148.0,0.0
62,2023-03-10 05:00:00,117.125,0.0
63,2023-03-10 06:00:00,131.225,0.0
64,2023-03-10 07:00:00,108.475,0.0
65,2023-03-10 08:00:00,109.5,0.0
66,2023-03-10 09:00:00,102.4,0.0
67,2023-03-10 10:00:00,102.25,0.0
68,2023-03-10 11:00:00,109.55,0.575
69,2023-03-10 12:00:00,103.75,7.95
70,2023-03-10 13:00:00,91.25,24.4
71,2023-03-10 14:00:00,50.175,67.275
72,2023-03-10 15:00:00,31.325,125.35
73,2023-03-10 16:00:00,36.275,84.2
74,2023-03-10 17:00:00,90.875,33.325
75,2023-03-10 18:00:00,113.8,19.175
76,2023-03-10 19:00:00,144.75,9.975
77,2023-03-10 20:00:00,130.825,3.075
78,2023-03-10 21:00:00,136.875,0.25
79,2023-03-10 22:00:00,144.3,0.0
80,2023-03-10 23:00:00,143.85,0.0
81,2023-03-11 00:00:00,151.2,0.0
82,2023-03-11 01:00:00,153.65,0.0
83,2023-03-11 02:00:00,166.55,0.0
84,2023-03-11 03:00:00,166.15,0.0
85,2023-03-11 04:00:00,160.475,0.0
86,2023-03-11 05:00:00,147.35,0.0
87,2023-03-11 06:00:00,141.3,0.0
88,2023-03-11 07:00:00,120.5,0.0
89,2023-03-11 08:00:00,112.775,0.0
90,2023-03-11 09:00:00,108.85,0.0
91,2023-03-11 10:00:00,99.55,0.0
92,2023-03-11 11:00:00,108.075,0.0
93,2023-03-11 12:00:00,110.125,0.0
94,2023-03-11 13:00:00,109.425,0.025
95,2023-03-11 14:00:00,117.325,0.65
96,2023-03-11 15:00:00,137.1,0.775
97,2023-03-11 16:00:00,152.7,2.0
98,2023-03-11 17:00:00,127.375,1.225
99,2023-03-11 18:00:00,149.6,0.825
100,2023-03-11 19:00:00,159.525,1.0
101,2023-03-11 20:00:00,161.8,0.35
102,2023-03-11 21:00:00,154.075,0.1
103,2023-03-11 22:00:00,154.6,0.0
104,2023-03-11 23:00:00,136.475,0.0
105,2023-03-12 00:00:00,134.825,0.0
106,2023-03-12 01:00:00,137.6,0.0
107,2023-03-12 02:00:00,132.4,0.0
108,2023-03-12 03:00:00,150.025,0.0
109,2023-03-12 04:00:00,154.75,0.0
110,2023-03-12 05:00:00,132.0,0.0
111,2023-03-12 06:00:00,116.85,0.0
112,2023-03-12 07:00:00,111.975,0.0
113,2023-03-12 08:00:00,104.525,0.0
114,2023-03-12 09:00:00,101.6,0.0
115,2023-03-12 10:00:00,113.2,0.0
116,2023-03-12 11:00:00,110.675,0.0
117,2023-03-12 12:00:00,108.125,1.2
118,2023-03-12 13:00:00,115.925,3.875
119,2023-03-12 14:00:00,115.625,5.525
120,2023-03-12 15:00:00,116.45,6.35
121,2023-03-12 16:00:00,121.825,6.825
122,2023-03-12 17:00:00,126.875,7.55
123,2023-03-12 18:00:00,131.775,8.2
124,2023-03-12 19:00:00,113.825,7.2
125,2023-03-12 20:00:00,125.925,5.65
126,2023-03-12 21:00:00,123.975,3.575
127,2023-03-12 22:00:00,144.975,0.95
128,2023-03-12 23:00:00,159.125,0.0
129,2023-03-13 00:00:00,156.175,0.0
130,2023-03-13 01:00:00,151.55,0.0
131,2023-03-13 02:00:00,160.75,0.0
132,2023-03-13 03:00:00,153.05,0.0
133,2023-03-13 04:00:00,144.8,0.0
134,2023-03-13 05:00:00,149.375,0.0
135,2023-03-13 06:00:00,125.15,0.0
136,2023-03-13 07:00:00,115.35,0.0
137,2023-03-13 08:00:00,111.7,0.0
138,2023-03-13 09:00:00,110.825,0.0
139,2023-03-13 10:00:00,114.75,0.0
140,2023-03-13 11:00:00,114.825,0.0
141,2023-03-13 12:00:00,119.725,0.8
142,2023-03-13 13:00:00,111.1,4.675
143,2023-03-13 14:00:00,111.225,10.625
144,2023-03-13 15:00:00,108.85,15.3
145,2023-03-13 16:00:00,90.725,28.575
146,2023-03-13 17:00:00,91.825,40.375
147,2023-03-13 18:00:00,102.0,28.3
148,2023-03-13 19:00:00,89.825,39.225
149,2023-03-13 20:00:00,114.625,12.75
150,2023-03-13 21:00:00,116.975,12.45
151,2023-03-13 22:00:00,136.275,3.45
152,2023-03-13 23:00:00,141.825,0.0
153,2023-03-14 00:00:00,129.675,0.0
154,2023-03-14 01:00:00,158.575,0.0
155,2023-03-14 02:00:00,162.775,0.0
156,2023-03-14 03:00:00,146.425,0.0
157,2023-03-14 04:00:00,136.625,0.0
158,2023-03-14 05:00:00,125.25,0.0
159,2023-03-14 06:00:00,118.85,0.0
160,2023-03-14 07:00:00,113.075,0.0
161,2023-03-14 08:00:00,107.75,0.0
162,2023-03-14 09:00:00,109.05,0.0
163,2023-03-14 10:00:00,112.875,0.0
164,2023-03-14 11:00:00,111.4,0.0
165,2023-03-14 12:00:00,109.625,0.075
166,2023-03-14 13:00:00,109.65,1.45
167,2023-03-14 14:00:00,108.4,4.8
168,2023-03-14 15:00:00,113.0,9.025
169,2023-03-14 16:00:00,130.8,12.225
170,2023-03-14 17:00:00,149.25,10.65
171,2023-03-14 18:00:00,123.025,12.65
172,2023-03-14 19:00:00,145.8,9.75
173,2023-03-14 20:00:00,135.8,7.4
174,2023-03-14 21:00:00,129.325,2.5
175,2023-03-14 22:00:00,136.8,0.65
176,2023-03-14 23:00:00,138.45,0.0
177,2023-03-15 00:00:00,135.65,0.0
178,2023-03-15 01:00:00,144.5,0.0
179,2023-03-15 02:00:00,140.875,0.0
180,2023-03-15 03:00:00,148.175,0.0
181,2023-03-15 04:00:00,125.45,0.0
182,2023-03-15 05:00:00,125.7,0.0
183,2023-03-15 06:00:00,116.45,0.0
184,2023-03-15 07:00:00,107.1,0.0
185,2023-03-15 08:00:00,104.425,0.0
186,2023-03-15 09:00:00,102.925,0.0
187,2023-03-15 10:00:00,114.15,0.0
188,2023-03-15 11:00:00,118.025,0.1
189,2023-03-15 12:00:00,115.875,2.675
190,2023-03-15 13:00:00,103.65,16.95
191,2023-03-15 14:00:00,60.1,63.775
192,2023-03-15 15:00:00,44.525,128.325
193,2023-03-15 16:00:00,63.95,171.25
194,2023-03-15 17:00:00,63.65,172.375
195,2023-03-15 18:00:00,53.55,169.175
196,2023-03-15 19:00:00,28.375,153.5
197,2023-03-15 20:00:00,9.15,115.1
198,2023-03-15 21:00:00,55.475,65.8
199,2023-03-15 22:00:00,114.25,17.15
200,2023-03-15 23:00:00,129.65,0.3
