name,slottime_GMT,pointTitle,value
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 15:00:00,Building Electric,56.30000
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 15:00:00,Solar Generation meter,62.40000
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 15:15:00,Building Electric,45.60000
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 15:15:00,Solar Generation meter,64.60000
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 15:30:00,Building Electric,39.40000
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 15:30:00,Solar Generation meter,56.30000
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 15:45:00,Building Electric,38.00000
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 15:45:00,Solar Generation meter,60.90000
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 16:00:00,Building Electric,21.50000
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 16:00:00,Solar Generation meter,84.00000
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 16:15:00,Building Electric,40.70000
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 16:15:00,Solar Generation meter,73.60000
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 16:30:00,Building Electric,15.40000
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 16:30:00,Solar Generation meter,84.20000
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 16:45:00,Building Electric,40.90000
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 16:45:00,Solar Generation meter,62.40000
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 17:00:00,Building Electric,36.00000
GanedagoHall.Solar.Elec.PowerScout3037/kW,2023-03-07 17:00:00,Solar Generation meter,80.30000
GanedagoHall.Elec.PowerScout3037/kW,2023-03-07 17:15:00,Building Electric,10.20000
