,time,grid,solar
0,2023-03-07 15:00:00,56.3,62.4
1,2023-03-07 15:15:00,45.6,64.6
2,2023-03-07 15:30:00,39.4,56.3
3,2023-03-07 15:45:00,38.0,60.9
4,2023-03-07 16:00:00,21.5,84.0
5,2023-03-07 16:15:00,40.7,73.6
6,2023-03-07 16:30:00,15.4,84.2
7,2023-03-07 16:45:00,40.9,62.4
8,2023-03-07 17:00:00,36.0,80.3
9,2023-03-07 17:15:00,10.2,114.6
10,2023-03-07 17:30:00,40.0,81.6
11,2023-03-07 17:45:00,54.6,79.7
12,2023-03-07 18:00:00,44.1,75.9
13,2023-03-07 18:15:00,52.6,59.5
14,2023-03-07 18:30:00,72.9,32.7
15,2023-03-07 18:45:00,99.6,33.2
16,2023-03-07 19:00:00,81.6,44.6
17,2023-03-07 19:15:00,95.0,29.1
18,2023-03-07 19:30:00,106.6,28.6
19,2023-03-07 19:45:00,96.4,19.2
20,2023-03-07 20:00:00,96.6,20.5
21,2023-03-07 20:15:00,95.1,20.4
22,2023-03-07 20:30:00,89.3,26.3
23,2023-03-07 20:45:00,99.6,18.7
24,2023-03-07 21:00:00,99.1,24.1
25,2023-03-07 21:15:00,89.4,26.2
26,2023-03-07 21:30:00,97.1,16.6
27,2023-03-07 21:45:00,96.5,15.1
28,2023-03-07 22:00:00,109.3,11.4
29,2023-03-07 22:15:00,126.8,7.1
30,2023-03-07 22:30:00,124.8,3.3
31,2023-03-07 22:45:00,122.9,0.5
32,2023-03-07 23:00:00,133.0,0.0
33,2023-03-07 23:15:00,125.2,0.0
34,2023-03-07 23:30:00,119.4,0.0
35,2023-03-07 23:45:00,119.1,0.0
36,2023-03-08 00:00:00,121.5,0.0
37,2023-03-08 00:15:00,122.4,0.0
38,2023-03-08 00:30:00,126.9,0.0
39,2023-03-08 00:45:00,133.5,0.0
40,2023-03-08 01:00:00,129.8,0.0
41,2023-03-08 01:15:00,126.6,0.0
42,2023-03-08 01:30:00,123.4,0.0
43,2023-03-08 01:45:00,120.9,0.0
44,2023-03-08 02:00:00,152.9,0.0
45,2023-03-08 02:15:00,151.8,0.0
46,2023-03-08 02:30:00,148.7,0.0
47,2023-03-08 02:45:00,147.3,0.0
48,2023-03-08 03:00:00,135.5,0.0
49,2023-03-08 03:15:00,146.2,0.0
50,2023-03-08 03:30:00,144.3,0.0
51,2023-03-08 03:45:00,149.1,0.0
52,2023-03-08 04:00:00,153.7,0.0
53,2023-03-08 04:15:00,146.9,0.0
54,2023-03-08 04:30:00,153.4,0.0
55,2023-03-08 04:45:00,142.2,0.0
56,2023-03-08 05:00:00,145.6,0.0
57,2023-03-08 05:15:00,126.4,0.0
58,2023-03-08 05:30:00,118.5,0.0
59,2023-03-08 05:45:00,123.7,0.0
60,2023-03-08 06:00:00,119.2,0.0
61,2023-03-08 06:15:00,115.8,0.0
62,2023-03-08 06:30:00,115.1,0.0
63,2023-03-08 06:45:00,110.7,0.0
64,2023-03-08 07:00:00,105.2,0.0
65,2023-03-08 07:15:00,104.3,0.0
66,2023-03-08 07:30:00,103.8,0.0
