time,temperature_2m (°F),precipitation (inch),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2023-03-06T00:00,37,0,29,28,6,0,0,0,0,0
2023-03-06T01:00,36.7,0,12,13,0,0,0,0,0,0
2023-03-06T02:00,36,0,10,11,0,0,0,0,0,0
2023-03-06T03:00,35.3,0,5,6,0,0,0,0,0,0
2023-03-06T04:00,34.6,0,7,8,0,0,0,0,0,0
2023-03-06T05:00,33.9,0,3,3,0,0,0,0,0,0
2023-03-06T06:00,33.3,0,4,4,0,0,0,0,0,0
2023-03-06T07:00,33.3,0,4,4,0,0,0,0,0,0
2023-03-06T08:00,32.6,0,1,1,0,1,0,0,0,0
2023-03-06T09:00,32,0,12,6,1,19,0,0,0,0
2023-03-06T10:00,31.6,0,4,4,0,0,0,0,0,0
2023-03-06T11:00,31.4,0,0,0,0,0,0,0,0,0
2023-03-06T12:00,31.5,0,62,3,58,82,4,0,4,0
2023-03-06T13:00,32.4,0,92,4,97,100,74,1,73,0.2
2023-03-06T14:00,34.1,0,96,7,99,100,191,51,140,82.9
2023-03-06T15:00,35.4,0,100,25,100,100,244,22,222,105.6
2023-03-06T16:00,36.8,0,100,19,100,91,318,35,283,47.4
2023-03-06T17:00,38.2,0,98,21,95,75,382,51,331,60.5
2023-03-06T18:00,39.6,0,47,8,66,0,502,194,308,172
2023-03-06T19:00,40,0,32,3,48,0,554,365,189,431.2
2023-03-06T20:00,40.5,0,5,0,0,17,562,457,105,717.8
2023-03-06T21:00,40.2,0,48,0,30,100,422,343,79,855.6
2023-03-06T22:00,38.5,0,74,0,73,100,185,74,111,559
2023-03-06T23:00,36.2,0,90,0,100,100,34,1,33,113.9
2023-03-07T00:00,35.1,0,90,0,100,100,0,0,0,0
2023-03-07T01:00,34,0,90,0,100,100,0,0,0,0
2023-03-07T02:00,33.5,0,90,0,100,100,0,0,0,0
2023-03-07T03:00,33.1,0,90,0,100,100,0,0,0,0
