time,temperature_2m (°F),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2022-04-01T00:00,56.3,37,6,23,60,3,1,2,6.7
2022-04-01T01:00,54.5,27,4,17,44,0,0,0,0
2022-04-01T02:00,48.8,37,25,21,7,0,0,0,0
2022-04-01T03:00,44.8,72,47,48,2,0,0,0,0
2022-04-01T04:00,42.7,100,86,65,0,0,0,0,0
2022-04-01T05:00,41.9,100,82,56,0,0,0,0,0
2022-04-01T06:00,41.3,100,75,53,2,0,0,0,0
2022-04-01T07:00,41.2,77,37,62,21,0,0,0,0
2022-04-01T08:00,39.8,100,48,94,54,0,0,0,0
2022-04-01T09:00,38.9,100,92,90,7,0,0,0,0
2022-04-01T10:00,38.2,100,80,84,6,0,0,0,0
2022-04-01T11:00,37.6,56,8,80,1,0,0,0,0
2022-04-01T12:00,38.5,62,18,77,0,45,14,31,0
2022-04-01T13:00,39.9,81,33,86,0,132,31,101,106.3
2022-04-01T14:00,40.3,84,42,77,0,223,84,139,138.1
2022-04-01T15:00,41.8,87,47,74,0,304,100,204,171
2022-04-01T16:00,42.6,95,45,87,6,394,142,252,173.6
2022-04-01T17:00,43.3,100,79,85,11,500,250,250,258.3
2022-04-01T18:00,44.3,100,72,89,0,565,284,281,347.8
2022-04-01T19:00,43.5,100,69,86,0,569,243,326,346.9
2022-04-01T20:00,42.7,100,80,69,0,463,199,264,314.4
2022-04-01T21:00,41.3,80,37,77,1,352,149,203,287.3
2022-04-01T22:00,40,100,48,90,36,268,147,121,348.3
2022-04-01T23:00,38,100,48,73,81,104,40,64,324.9
2022-04-02T00:00,36.1,100,62,68,14,7,1,6,45.4
2022-04-02T01:00,34.8,98,73,53,0,0,0,0,0
2022-04-02T02:00,34.2,62,55,21,0,0,0,0,0
2022-04-02T03:00,33.3,63,63,11,0,0,0,0,0
2022-04-02T04:00,32.9,63,67,4,0,0,0,0,0
2022-04-02T05:00,32.5,55,61,0,0,0,0,0,0
2022-04-02T06:00,32.2,61,68,0,0,0,0,0,0
2022-04-02T07:00,31.8,56,62,0,0,0,0,0,0
2022-04-02T08:00,31.6,48,53,0,0,0,0,0,0
2022-04-02T09:00,31.3,38,42,0,0,0,0,0,0
2022-04-02T10:00,31.1,59,65,0,0,0,0,0,0
2022-04-02T11:00,30.9,48,53,0,0,1,0,1,0
2022-04-02T12:00,31.7,54,60,0,0,82,50,32,0
2022-04-02T13:00,33.3,70,78,0,0,236,152,84,442.2
2022-04-02T14:00,35.7,90,100,0,0,396,256,140,514.1
2022-04-02T15:00,38,92,100,0,6,536,323,213,516.4
2022-04-02T16:00,40.8,93,82,0,63,719,575,144,649.7
2022-04-02T17:00,43.2,79,64,0,71,827,697,130,855.1
2022-04-02T18:00,44.5,9,0,0,31,772,669,103,870.2
2022-04-02T19:00,45.9,0,0,0,0,798,698,100,888
2022-04-02T20:00,46.8,6,0,0,21,694,608,86,934.9
2022-04-02T21:00,46.9,21,0,0,70,531,439,92,879.8
2022-04-02T22:00,46.1,30,0,0,100,342,263,79,790.8
2022-04-02T23:00,43.9,31,0,1,100,105,27,78,434.4
2022-04-03T00:00,41,50,0,33,100,8,0,8,25.9
2022-04-03T01:00,38.6,74,0,74,100,0,0,0,0
2022-04-03T02:00,37.3,86,0,100,88,0,0,0,0
2022-04-03T03:00,36.4,58,0,91,12,0,0,0,0
2022-04-03T04:00,35.7,63,0,95,21,0,0,0,0
2022-04-03T05:00,35.5,80,0,97,73,0,0,0,0
2022-04-03T06:00,35.6,87,0,99,91,0,0,0,0
2022-04-03T07:00,36.7,86,0,100,86,0,0,0,0
2022-04-03T08:00,37.3,92,5,100,92,0,0,0,0
2022-04-03T09:00,37.5,78,3,100,52,0,0,0,0
2022-04-03T10:00,37.5,77,2,100,51,0,0,0,0
2022-04-03T11:00,37.1,91,11,98,73,0,0,0,0
2022-04-03T12:00,37,100,23,100,98,23,1,22,3.6
2022-04-03T13:00,37.1,100,31,99,91,54,0,54,4.5
2022-04-03T14:00,37.6,100,33,100,51,98,0,98,0
2022-04-03T15:00,38,100,54,97,9,165,15,150,11.2
2022-04-03T16:00,40.4,100,100,97,5,200,27,173,33
2022-04-03T17:00,39.1,100,100,100,14,143,0,143,19.3
2022-04-03T18:00,37.1,100,100,100,42,140,2,138,0.1
2022-04-03T19:00,38.7,100,92,98,62,285,49,236,30.6
2022-04-03T20:00,39.3,100,85,100,81,326,88,238,100.1
2022-04-03T21:00,39.5,100,87,100,83,291,81,210,148.4
2022-04-03T22:00,38.7,100,58,100,83,156,26,130,113.9
2022-04-03T23:00,37.4,100,45,99,90,54,6,48,48.9
2022-04-04T00:00,36.6,100,37,98,96,5,0,5,7
